"code","Column Heading","English","Hindi","Bengali"
"option","Paper/Print Options","Create ROW by clicking on the arrow icon and choosing from the various options found. The 'Single-sheet', 'Calendar' and 'Box packaging' modules do not have this option.","एरो आइकन पर क्लिक करके पाए गए विभिन्न विकल्पों में से चुनकर ROW बनाएं। 'सिंगल-शीट', 'कैलेंडर' और 'बॉक्स पैकेजिंग' मॉड्यूल में यह विकल्प नहीं है।","তীর আইকনে ক্লিক করে এবং পাওয়া বিভিন্ন বিকল্প থেকে বেছে নিয়ে ROW তৈরি করুন। 'একক-শীট', 'ক্যালেন্ডার' এবং 'বক্স প্যাকেজিং' মডিউলগুলিতে এই বিকল্প নেই।"
"paper","Paper","Click 'Select'  and select Paper/Card from the List. New Paper/Card can also be added here.","Select' पर क्लिक करके लीस्टमें से पेपर सिलेक्ट करें। पेपर का नया ब्रांड भी यहाँ से जोड़ सकते है।    ","নির্বাচন করুন' ক্লিক করুন এবং তালিকা থেকে নির্বাচন করুন। নতুন কাগজের ব্র্যান্ড যুক্ত করতে উপরের 'বাটনস' থেকে 'সেটটিং' এ ক্লিক করুন এবং কাগজের লাইব্রেরিতে যান এবং কাগজের ব্র্যান্ড যুক্ত / সম্পাদনা করুন।"
"paper_cost","Paper Price Per/","Select from options and enter paper cost per kg. or per Sheet","पेपरकी कीमत (मूल्य) सब खर्च के साथ प्रति किलोग्राम या प्रति शीट दर्शाये। ","কাগজের দাম (দাম) প্রতি কেজি বা সমস্ত ব্যয় সহ প্রতি শীটতে দেখানো উচিত।"
"wastage","Expected Wastege","Enter expected paper wastage in percentage (%) or Sheets.","प्रिन्टिंग के दौरान पेपरका अंदाजित व्यय (Wastage) कितना पर्सेंटेज (%) होगा या कितनी Sheets होगी वो दर्शाये।","মুদ্রণের সময়, কাগজের আনুমানিক ব্যয়ের (অপচয়) ব্যয়ের মোট ব্যয়ের কত মুদ্রণের সময় কাগজের আনুমানিক ব্যয়ের কত শতাংশ (%) বা কতগুলি শীট থাকবে তা নির্দেশ করুন।শতাংশ প্রবেশ করান।"
"finish_size_format","Finish (Cut) Size Format","Enter the Finish Sheet Size (i.e. Cut or Fold-Cut Size) of Full Sheet (Parent Sheet) size of paper. ","पेपरकी पूरी शीटमें से कितने टुकड़े काटे या फोल्ड-कट ( Finish Fold-Cut Size ) किये जायेंगे वो दर्शाये।","কাগজের পুরো শীট থেকে কতগুলি টুকরো কাটা বা ভাঁজ কাটা হবে তা দেখান।"
"sheets_in_calendar","Sheets In Each Calendar","Select from the list of number of Sheets in each calendar like Twelve, Six, Four etc.","एक कैलेंडर कितनी शीट्सका बनेगा -  जैसे की बारह-शीट्स, छे-शीट्स, चार-शीट्स ईत्यादी यहाँ दिए गए विक्लपोंमें से चुने। ","একটি ক্যালেন্ডার কত শীট দিয়ে তৈরি হবে - এখানে দেওয়া বিকল্পগুলি থেকে চয়ন করুন, যেমন বারো-শীট, ছয়-শীট, চার-শীট ইত্যাদি।"
"dtp","Design DTP Cost Per","Select & Enter Designing or DTP charges from options 'None' or Per/Lot.","डिज़ाइनिंग या डीटीपी चार्जिस, None  या प्रति/लॉट के हिसाबसे एंटर करें। ","ডিজাইনিং বা ডিটিপি চার্জ লিখুন, কোনটি নয় বা প্রতি/লট অনুযায়ী।"
"num_colors_front","Nos. of Colors in Day-Date","Select and Enter number of colours to be printed on Day-Date side of the Calendar.","केलेंडरमे तारीख-वार (Day-Date) की साइडमे कितने कलरका प्रिंटिंग है वो बतायें।","ক্যালেন্ডারে, তারিখ অনুসারে মুদ্রিত রঙের সংখ্যা বলুন।"
"months_in_plat","Months In Plate Signature","Enter number of Months to be accomodated or exposed for printing in each Plate Signature Layout. ","एक प्लेटमे एक साथ कितने महीनेका समावेश करके प्रिंटिंग किया जाएगा वो यहां दर्शाये। ","এক প্লেটে একসাথে কত মাস প্রিন্ট করা হবে তা সহ এখানে দেখান।"
"num_colors_back","Color For Back side Printing (12 Sheeter)","Number of colours for backside printing ('PANCHANG' etc.) of 12 sheets' calendar. (Frontside being DAY-DATE matter)","बारह शीट्स के केलेंडरका एक साइड कोरा (Blank) ना रखके जब पंचांग या कोई अन्य प्रिंटिंग बेकसाइडमें करना हो तो वो कितने कलरमे करना है वो सिलेक्ट करे।","বারো পত্রের ক্যালেন্ডারের একপাশ ফাঁকা না রেখে, যখন পঞ্চং বা অন্য কোন প্রিন্টিং করতে হবে পিছনের দিকে, তখন নির্বাচন করুন কয়টি রং করতে হবে।"
